epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6635.91,0.36331,0.79404,0.30697,0.89567,0.94371,0.88565,0.92685,0.8361,0.94189,0.8751,0.91096,0.78343,0.46012,1.43967,0.35686,0.9294,0.0092278,0.0092278,0.0092278
41,6802.51,0.36068,0.79229,0.30541,0.89025,0.93449,0.88936,0.92879,0.83429,0.92594,0.88191,0.91113,0.78815,0.46892,1.44631,0.35786,0.9357,0.009208,0.009208,0.009208
42,6969.55,0.356,0.80125,0.30466,0.88837,0.9282,0.90243,0.92676,0.83403,0.92095,0.89651,0.91376,0.78954,0.45961,1.37113,0.35445,0.93585,0.0091882,0.0091882,0.0091882
43,7135.26,0.35444,0.78317,0.29715,0.88768,0.93856,0.90226,0.93338,0.84291,0.92533,0.88975,0.91046,0.79225,0.45228,1.39646,0.34232,0.93122,0.0091684,0.0091684,0.0091684
44,7301.21,0.35141,0.7749,0.29536,0.88799,0.94285,0.90606,0.9345,0.84735,0.92851,0.89258,0.9129,0.7919,0.45596,1.42886,0.34076,0.9373,0.0091486,0.0091486,0.0091486
45,7467.51,0.35355,0.77777,0.29701,0.88833,0.94211,0.90339,0.92482,0.84113,0.93211,0.89361,0.90859,0.78688,0.45184,1.42472,0.35189,0.92328,0.0091288,0.0091288,0.0091288
46,7633.26,0.34616,0.78901,0.29309,0.88673,0.93023,0.90884,0.92853,0.83997,0.92479,0.90176,0.91417,0.79189,0.45331,1.38882,0.3396,0.92894,0.009109,0.009109,0.009109
47,7799.22,0.34818,0.76836,0.29693,0.88348,0.93406,0.89773,0.93107,0.84159,0.91844,0.89252,0.91046,0.79337,0.4458,1.37368,0.34273,0.91916,0.0090892,0.0090892,0.0090892
48,7964.63,0.34553,0.75988,0.28862,0.88548,0.9351,0.90658,0.92884,0.84478,0.92476,0.89673,0.90975,0.79047,0.44199,1.41519,0.33985,0.91818,0.0090694,0.0090694,0.0090694
49,8127.51,0.34513,0.76868,0.28904,0.88591,0.94962,0.90795,0.93167,0.84762,0.93856,0.89943,0.91436,0.79807,0.45023,1.39614,0.33624,0.92795,0.0090496,0.0090496,0.0090496
50,8293.22,0.34147,0.76168,0.28739,0.8835,0.94068,0.91205,0.93125,0.84857,0.93126,0.90435,0.91308,0.79877,0.43658,1.37011,0.32476,0.91895,0.0090298,0.0090298,0.0090298
51,8457.9,0.34222,0.75599,0.28341,0.88303,0.94483,0.90974,0.93519,0.85101,0.93378,0.89865,0.91438,0.79558,0.44654,1.38964,0.32867,0.92344,0.00901,0.00901,0.00901
52,8623.08,0.34209,0.75623,0.284,0.88226,0.94437,0.91406,0.93614,0.85403,0.93359,0.90524,0.91953,0.80526,0.44272,1.35709,0.3149,0.91792,0.0089902,0.0089902,0.0089902
53,8788.94,0.33552,0.7346,0.28015,0.87856,0.95138,0.90454,0.93562,0.85176,0.93914,0.89439,0.91461,0.80343,0.44027,1.33989,0.31392,0.91677,0.0089704,0.0089704,0.0089704
54,8959.71,0.3307,0.7336,0.27752,0.87513,0.93476,0.91768,0.93328,0.85442,0.92657,0.90902,0.91597,0.80821,0.43602,1.33732,0.32361,0.91931,0.0089506,0.0089506,0.0089506
55,9126.64,0.33332,0.74441,0.27521,0.87953,0.94643,0.91346,0.93676,0.85444,0.93868,0.9017,0.91717,0.80216,0.43763,1.35559,0.3069,0.91532,0.0089308,0.0089308,0.0089308
56,9297.51,0.33214,0.73244,0.27545,0.879,0.96015,0.90079,0.93507,0.85879,0.9489,0.89192,0.91744,0.80845,0.42986,1.31582,0.3055,0.91266,0.008911,0.008911,0.008911
57,9463.91,0.33246,0.74827,0.2741,0.88044,0.95459,0.90337,0.93438,0.85537,0.94592,0.89691,0.9198,0.8062,0.43599,1.3382,0.30986,0.91989,0.0088912,0.0088912,0.0088912
58,9631.62,0.33459,0.75346,0.2741,0.87961,0.9455,0.91495,0.93389,0.8597,0.93696,0.90944,0.92125,0.80781,0.4265,1.31859,0.3092,0.9131,0.0088714,0.0088714,0.0088714
59,9795.77,0.32706,0.72819,0.27006,0.87676,0.94539,0.91457,0.93572,0.86125,0.94104,0.90359,0.91918,0.81093,0.4244,1.33618,0.30872,0.91412,0.0088516,0.0088516,0.0088516
60,9962.87,0.32865,0.74418,0.27039,0.87828,0.94635,0.9138,0.93485,0.85536,0.93637,0.90582,0.91745,0.80624,0.42986,1.35677,0.29972,0.9198,0.0088318,0.0088318,0.0088318
61,10128.4,0.32523,0.70834,0.26849,0.87856,0.95051,0.91591,0.93868,0.86365,0.94528,0.90642,0.92288,0.81493,0.4163,1.32996,0.2913,0.90453,0.008812,0.008812,0.008812
62,10297,0.32948,0.70986,0.27108,0.88146,0.95329,0.91881,0.94142,0.86221,0.9463,0.90412,0.9222,0.8123,0.41716,1.33182,0.301,0.90804,0.0087922,0.0087922,0.0087922
63,10464.9,0.33043,0.70451,0.27083,0.87575,0.95173,0.91244,0.93917,0.86615,0.94539,0.90671,0.92682,0.81851,0.41615,1.30284,0.29376,0.90728,0.0087724,0.0087724,0.0087724
64,10632.2,0.32492,0.73211,0.26522,0.87559,0.95171,0.91963,0.93806,0.86277,0.94484,0.91076,0.92078,0.81208,0.41987,1.30632,0.29158,0.91302,0.0087526,0.0087526,0.0087526
65,10804.5,0.32204,0.71638,0.26453,0.87459,0.95263,0.91494,0.93943,0.86635,0.94794,0.91064,0.92678,0.82076,0.41652,1.29036,0.28478,0.90779,0.0087328,0.0087328,0.0087328
66,10972.6,0.32331,0.71824,0.26554,0.87558,0.95276,0.92123,0.93894,0.86714,0.94605,0.91204,0.92359,0.81976,0.41272,1.28224,0.2817,0.90768,0.008713,0.008713,0.008713
67,11139.9,0.32612,0.71429,0.26356,0.87711,0.95493,0.91852,0.94068,0.86739,0.94823,0.91081,0.92633,0.82197,0.41308,1.27557,0.27457,0.90709,0.0086932,0.0086932,0.0086932
68,11308.5,0.32004,0.69958,0.2629,0.87172,0.9584,0.92088,0.94076,0.86901,0.9505,0.91392,0.92644,0.82384,0.4105,1.27746,0.27702,0.90147,0.0086734,0.0086734,0.0086734
69,11473.5,0.32115,0.69934,0.25729,0.87272,0.95893,0.91186,0.93674,0.86514,0.95349,0.90654,0.92517,0.8216,0.41917,1.30341,0.27744,0.90798,0.0086536,0.0086536,0.0086536
70,11638.2,0.32229,0.71424,0.2621,0.87155,0.96007,0.9194,0.94102,0.869,0.95042,0.91193,0.92765,0.82282,0.41707,1.27897,0.27641,0.90179,0.0086338,0.0086338,0.0086338
71,11802.6,0.32404,0.70662,0.26307,0.87274,0.95676,0.92045,0.93773,0.86568,0.95303,0.91035,0.92561,0.82138,0.41311,1.28532,0.28361,0.90213,0.008614,0.008614,0.008614
72,11968.2,0.31461,0.68494,0.25475,0.86874,0.95466,0.91938,0.93711,0.86637,0.94762,0.91449,0.92493,0.82041,0.40687,1.25981,0.2788,0.89958,0.0085942,0.0085942,0.0085942
73,12132.3,0.31107,0.67004,0.25144,0.86788,0.95572,0.92509,0.93986,0.86634,0.94842,0.91844,0.92622,0.82281,0.40739,1.26658,0.27111,0.89638,0.0085744,0.0085744,0.0085744
74,12296.4,0.31463,0.71365,0.25509,0.87017,0.95461,0.92321,0.93987,0.86781,0.94779,0.91965,0.92767,0.82219,0.40819,1.26156,0.27221,0.89954,0.0085546,0.0085546,0.0085546
75,12460.6,0.31722,0.69915,0.26172,0.87421,0.95287,0.92392,0.94093,0.87107,0.94818,0.91601,0.92704,0.8248,0.40835,1.24434,0.27113,0.89902,0.0085348,0.0085348,0.0085348
76,12624.5,0.31264,0.68077,0.25553,0.8718,0.96042,0.9218,0.94356,0.8731,0.95383,0.91497,0.93013,0.83016,0.40581,1.22698,0.2652,0.90285,0.008515,0.008515,0.008515
77,12790.4,0.30987,0.6818,0.25606,0.86806,0.96239,0.91913,0.94297,0.87349,0.95679,0.91335,0.93003,0.83263,0.40282,1.27982,0.26771,0.89984,0.0084952,0.0084952,0.0084952
78,12955.3,0.31367,0.69297,0.2546,0.86884,0.96122,0.91908,0.94044,0.87305,0.95643,0.91187,0.92857,0.82886,0.40062,1.23189,0.26699,0.89518,0.0084754,0.0084754,0.0084754
