epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,3778.97,0.43213,0.97808,0.38142,0.88633,0.92462,0.87353,0.91218,0.79841,0.9095,0.85982,0.88942,0.74566,0.53373,1.57712,0.43464,0.91994,0.009109,0.009109,0.009109
48,4804.78,0.4255,0.96874,0.37357,0.88387,0.93293,0.88283,0.91535,0.80992,0.92044,0.87141,0.89572,0.75708,0.51102,1.56194,0.41588,0.90423,0.0090694,0.0090694,0.0090694
47,3897.15,0.43155,0.98278,0.37415,0.88634,0.93555,0.86975,0.91635,0.80414,0.92414,0.86337,0.89822,0.75439,0.5249,1.56461,0.41553,0.91363,0.0090892,0.0090892,0.0090892
49,4921.51,0.42635,0.98231,0.37077,0.88499,0.92725,0.88444,0.91375,0.80994,0.91307,0.87386,0.89174,0.7558,0.51596,1.59938,0.41384,0.90265,0.0090496,0.0090496,0.0090496
48,4014.99,0.43612,1.01217,0.38392,0.88874,0.92164,0.87963,0.91498,0.80538,0.91745,0.86506,0.89653,0.75893,0.52,1.56257,0.42938,0.90339,0.0090694,0.0090694,0.0090694
50,5039.04,0.42479,0.96801,0.37154,0.88254,0.93701,0.8807,0.91818,0.81226,0.92568,0.868,0.89668,0.76295,0.50879,1.54347,0.4052,0.90088,0.0090298,0.0090298,0.0090298
49,4132.97,0.42571,0.96943,0.37186,0.88393,0.92956,0.87825,0.91384,0.81191,0.91922,0.86796,0.89412,0.75742,0.51015,1.56203,0.41012,0.90284,0.0090496,0.0090496,0.0090496
51,5156.35,0.42519,0.96688,0.37176,0.88464,0.94243,0.88904,0.91809,0.81332,0.92273,0.87304,0.89451,0.75846,0.51076,1.55995,0.40418,0.89821,0.00901,0.00901,0.00901
50,4251.12,0.42765,0.96941,0.3704,0.8863,0.92117,0.88605,0.91605,0.81249,0.90553,0.87408,0.89481,0.75665,0.50923,1.53743,0.41561,0.90233,0.0090298,0.0090298,0.0090298
52,5273.41,0.42159,0.96741,0.3663,0.88539,0.93795,0.87771,0.92228,0.8196,0.92363,0.8676,0.90117,0.77096,0.50958,1.54098,0.40315,0.9055,0.0089902,0.0089902,0.0089902
51,4369.09,0.42645,0.98598,0.3711,0.88328,0.92891,0.8887,0.92065,0.81815,0.91772,0.87852,0.89709,0.75971,0.50661,1.53454,0.39365,0.8983,0.00901,0.00901,0.00901
53,5390.7,0.42153,0.96123,0.37014,0.88384,0.93887,0.87458,0.92029,0.81567,0.92802,0.86309,0.89689,0.76332,0.51051,1.53533,0.40801,0.90443,0.0089704,0.0089704,0.0089704
52,4486.87,0.41874,0.96196,0.36348,0.88035,0.92804,0.87813,0.92135,0.81588,0.92563,0.86809,0.90093,0.76695,0.5134,1.5268,0.4018,0.9054,0.0089902,0.0089902,0.0089902
54,5507.85,0.41514,0.95256,0.35705,0.8776,0.94409,0.88272,0.92078,0.82004,0.93315,0.87386,0.90255,0.76789,0.50395,1.53407,0.39265,0.89839,0.0089506,0.0089506,0.0089506
53,4604.21,0.41925,0.95525,0.36277,0.88144,0.91667,0.88413,0.91809,0.81401,0.91421,0.87169,0.8988,0.76365,0.50061,1.53389,0.39125,0.89907,0.0089704,0.0089704,0.0089704
55,5625.09,0.41732,0.96211,0.36498,0.88199,0.92922,0.88764,0.91651,0.8129,0.91989,0.87162,0.8926,0.7592,0.50398,1.5407,0.41068,0.90364,0.0089308,0.0089308,0.0089308
54,4721.25,0.41988,0.95145,0.36424,0.8834,0.91505,0.883,0.91866,0.81118,0.90676,0.87647,0.90027,0.76362,0.51221,1.53393,0.4011,0.90653,0.0089506,0.0089506,0.0089506
56,5743.35,0.41611,0.93714,0.35918,0.88125,0.94169,0.88346,0.92355,0.8236,0.92583,0.86958,0.89886,0.77263,0.49532,1.51582,0.37494,0.88937,0.008911,0.008911,0.008911
55,4838.25,0.4192,0.94094,0.36262,0.88031,0.93915,0.8759,0.91981,0.81494,0.9276,0.86536,0.89896,0.76668,0.50865,1.51452,0.3971,0.89955,0.0089308,0.0089308,0.0089308
57,5860.79,0.41807,0.96166,0.36161,0.8837,0.92542,0.8941,0.9221,0.81635,0.9261,0.87883,0.90502,0.77014,0.50501,1.52401,0.38794,0.9006,0.0088912,0.0088912,0.0088912
56,4956.2,0.41543,0.94675,0.36345,0.88021,0.93395,0.88853,0.92299,0.82107,0.92127,0.87634,0.90108,0.77129,0.50276,1.51459,0.38815,0.89922,0.008911,0.008911,0.008911
58,5978.91,0.41511,0.96165,0.35542,0.87933,0.9322,0.89896,0.92678,0.82539,0.92396,0.88375,0.90507,0.77412,0.49468,1.52642,0.3866,0.89539,0.0088714,0.0088714,0.0088714
57,5074.37,0.41727,0.95164,0.36107,0.88207,0.92685,0.896,0.91886,0.81489,0.91707,0.88343,0.89783,0.76413,0.50399,1.50659,0.39353,0.89797,0.0088912,0.0088912,0.0088912
59,6094.28,0.40949,0.93876,0.3535,0.87888,0.93759,0.88495,0.92404,0.82169,0.92867,0.8768,0.90862,0.77385,0.49904,1.52515,0.38215,0.90056,0.0088516,0.0088516,0.0088516
58,5192.26,0.41595,0.93732,0.35985,0.88268,0.92759,0.88986,0.92342,0.81987,0.92738,0.87208,0.90561,0.77271,0.49552,1.50877,0.38289,0.8946,0.0088714,0.0088714,0.0088714
60,6211.27,0.41059,0.94922,0.35463,0.87974,0.94046,0.88782,0.92447,0.82302,0.92906,0.87806,0.90513,0.77217,0.48769,1.50054,0.36884,0.88899,0.0088318,0.0088318,0.0088318
59,5310.89,0.41409,0.94458,0.35925,0.87905,0.93918,0.89615,0.92485,0.82538,0.92229,0.87744,0.89799,0.76952,0.49235,1.53178,0.36732,0.89576,0.0088516,0.0088516,0.0088516
61,6329.18,0.40484,0.91382,0.34541,0.87857,0.93716,0.89076,0.92257,0.82595,0.92693,0.88013,0.90391,0.77517,0.48609,1.5113,0.38009,0.89056,0.008812,0.008812,0.008812
60,5427.86,0.40892,0.94868,0.35467,0.87824,0.94504,0.88925,0.92206,0.82392,0.93341,0.88026,0.90301,0.77367,0.49283,1.52582,0.36902,0.89462,0.0088318,0.0088318,0.0088318
62,6446.07,0.40518,0.92023,0.35263,0.88083,0.94313,0.89083,0.9252,0.82791,0.93023,0.87888,0.90495,0.7775,0.48551,1.50223,0.36721,0.8897,0.0087922,0.0087922,0.0087922
61,5546.51,0.41368,0.93563,0.35319,0.88168,0.93879,0.89311,0.92087,0.82399,0.92392,0.88161,0.90122,0.77161,0.48863,1.51481,0.375,0.88797,0.008812,0.008812,0.008812
63,6563.94,0.4072,0.91499,0.35107,0.87826,0.94017,0.88641,0.91926,0.82383,0.92966,0.8752,0.90225,0.7742,0.4847,1.49087,0.38234,0.88927,0.0087724,0.0087724,0.0087724
62,5663.82,0.40517,0.92558,0.35102,0.87731,0.94799,0.89203,0.92541,0.82532,0.93374,0.87844,0.90333,0.77342,0.48958,1.48369,0.35696,0.89171,0.0087922,0.0087922,0.0087922
64,6680.79,0.40543,0.93953,0.35223,0.87811,0.93447,0.89621,0.92412,0.82803,0.9223,0.88714,0.90749,0.78134,0.47854,1.46548,0.37735,0.88688,0.0087526,0.0087526,0.0087526
63,5781.47,0.40415,0.93245,0.35114,0.87944,0.9312,0.89246,0.9212,0.82658,0.92572,0.88041,0.90246,0.78002,0.48885,1.48376,0.37081,0.89296,0.0087724,0.0087724,0.0087724
65,6798.14,0.39927,0.91939,0.34678,0.87668,0.93779,0.89325,0.92527,0.82626,0.92915,0.88398,0.90863,0.78038,0.48394,1.49881,0.36805,0.88924,0.0087328,0.0087328,0.0087328
64,5899.03,0.40409,0.92258,0.34937,0.87787,0.92994,0.89895,0.92222,0.82782,0.92071,0.89103,0.90519,0.77971,0.48636,1.47417,0.36305,0.88785,0.0087526,0.0087526,0.0087526
66,6914.35,0.40033,0.9172,0.34236,0.87609,0.93651,0.89773,0.92398,0.82677,0.9286,0.88965,0.90876,0.78102,0.47848,1.47836,0.36043,0.88678,0.008713,0.008713,0.008713
65,6016.5,0.40498,0.92748,0.34939,0.87707,0.946,0.90244,0.92669,0.83044,0.93689,0.89414,0.90692,0.77974,0.48478,1.46489,0.35918,0.89041,0.0087328,0.0087328,0.0087328
67,7033.46,0.40789,0.93196,0.34912,0.88176,0.92696,0.90246,0.92611,0.83037,0.92799,0.88323,0.9094,0.78293,0.47868,1.46717,0.35204,0.88626,0.0086932,0.0086932,0.0086932
66,6133.82,0.40421,0.92118,0.34409,0.8792,0.94286,0.89262,0.92654,0.83146,0.93174,0.88349,0.90563,0.78035,0.47802,1.47512,0.35905,0.88423,0.008713,0.008713,0.008713
68,7151.07,0.39662,0.89994,0.33974,0.87498,0.93792,0.89706,0.92869,0.83265,0.93189,0.88869,0.91353,0.78485,0.47617,1.47447,0.35304,0.8881,0.0086734,0.0086734,0.0086734
